obligacion;valor pago;fecha;cod
1023456882;$ 80.530.355;13/10/2020;recaudo
1023456883;$ 85.291.818;14/10/2020;recaudo
1023456884;$ 26.835.899;15/10/2020;recaudo
1023456885;$ 67.595.307;16/10/2020;recaudo
1023456886;$ 19.079.110;17/10/2020;recaudo
1023456887;$ 28.497.602;18/10/2020;recaudo
1023456888;$ 14.008.116;19/10/2020;recaudo
1023456889;$ 21.889.513;20/10/2020;recaudo
1023456890;$ 20.863.265;21/10/2020;recaudo
1023456891;$ 40.932.802;22/10/2020;recaudo
1023456892;$ 89.520.916;23/10/2020;recaudo
1023456893;$ 75.480.833;24/10/2020;recaudo
1023456894;$ 57.497.221;25/10/2020;recaudo
1023456895;$ 7.846.644;26/10/2020;recaudo
1023456896;$ 28.872.930;27/10/2020;recaudo
1023456897;$ 81.969.366;28/10/2020;recaudo
1023456898;$ 89.970.154;29/10/2020;recaudo
1023456899;$ 75.215.947;1/10/2020;recaudo
1023456900;$ 90.391.673;2/10/2020;recaudo
1023456901;$ 32.462.161;3/10/2020;recaudo
1023456902;$ 29.646.137;4/10/2020;recaudo
1023456903;$ 38.185.312;5/10/2020;recaudo
1023456904;$ 98.998.026;6/10/2020;recaudo
1023456905;$ 83.859.458;7/10/2020;recaudo
1023456906;$ 67.897.160;8/10/2020;recaudo
1023456907;$ 75.134.346;9/10/2020;recaudo
1023456908;$ 83.494.621;10/10/2020;recaudo
1023456909;$ 64.922.669;11/10/2020;recaudo
1023456910;$ 44.218.987;12/10/2020;recaudo
1023456911;$ 9.159.763;13/10/2020;recaudo
1023456912;$ 59.830.539;14/10/2020;recaudo
1023456913;$ 74.851.052;15/10/2020;recaudo
1023456914;$ 20.019.634;16/10/2020;recaudo
1023456915;$ 39.978.846;17/10/2020;recaudo
1023456916;$ 64.826.380;18/10/2020;recaudo
1023456917;$ 12.820.933;19/10/2020;recaudo
1023456918;$ 14.773.778;20/10/2020;recaudo
1023456919;$ 48.458.899;21/10/2020;recaudo
1023456920;$ 8.286.220;22/10/2020;recaudo
1023456921;$ 52.085.153;23/10/2020;recaudo
1023456922;$ 17.361.366;24/10/2020;recaudo
1023456923;$ 36.913.677;25/10/2020;recaudo
1023456924;$ 20.320.279;26/10/2020;recaudo
1023456925;$ 73.534.874;27/10/2020;recaudo
1023456926;$ 17.653.554;28/10/2020;recaudo
1023456927;$ 38.126.650;29/10/2020;recaudo
1023456928;$ 41.060.581;1/10/2020;recaudo
1023456929;$ 69.330.753;2/10/2020;recaudo
1023456930;$ 38.635.040;3/10/2020;recaudo
1023456931;$ 87.691.819;4/10/2020;recaudo
1023456932;$ 26.399.384;5/10/2020;recaudo
1023456933;$ 45.890.512;6/10/2020;recaudo
1023456934;$ 10.100.477;7/10/2020;recaudo
1023456935;$ 81.997.636;8/10/2020;recaudo
1023456936;$ 6.770.839;9/10/2020;recaudo
1023456937;$ 41.559.367;10/10/2020;recaudo
1023456938;$ 16.309.582;11/10/2020;recaudo
1023456939;$ 6.642.036;12/10/2020;recaudo
1023456940;$ 33.801.606;13/10/2020;recaudo
1023456941;$ 40.589.719;14/10/2020;recaudo
1023456942;$ 62.049.330;15/10/2020;recaudo
1023456943;$ 78.297.832;16/10/2020;recaudo
1023456944;$ 93.634.590;17/10/2020;recaudo
1023456945;$ 27.610.828;18/10/2020;recaudo
1023456946;$ 97.331.037;19/10/2020;recaudo
1023456947;$ 17.303.413;20/10/2020;recaudo
1023456948;$ 80.149.378;21/10/2020;recaudo
1023456949;$ 54.857.789;22/10/2020;recaudo
1023456950;$ 21.507.418;23/10/2020;recaudo
1023456951;$ 38.163.205;24/10/2020;recaudo
1023456952;$ 10.168.963;25/10/2020;recaudo
1023456953;$ 57.822.602;26/10/2020;recaudo
1023456954;$ 49.150.404;27/10/2020;recaudo
1023456955;$ 71.166.863;28/10/2020;recaudo
1023456956;$ 63.296.734;29/10/2020;recaudo
1023456957;$ 95.728.184;1/10/2020;recaudo
1023456958;$ 7.126.709;2/10/2020;recaudo
1023456959;$ 93.630.722;3/10/2020;recaudo
1023456960;$ 73.044.688;4/10/2020;recaudo
1023456961;$ 2.689.886;5/10/2020;recaudo
1023456962;$ 90.134.915;6/10/2020;recaudo
1023456963;$ 59.241.353;7/10/2020;recaudo
1023456964;$ 86.265.352;8/10/2020;recaudo
1023456965;$ 44.387.850;9/10/2020;recaudo
1023456966;$ 45.877.035;10/10/2020;recaudo
1023456967;$ 41.795.073;11/10/2020;recaudo
1023456968;$ 53.902.003;12/10/2020;recaudo
1023456969;$ 51.380.564;13/10/2020;recaudo
1023456970;$ 75.935.429;14/10/2020;recaudo
1023456971;$ 97.423.931;15/10/2020;recaudo
1023456972;$ 26.900.024;16/10/2020;recaudo
1023456973;$ 68.646.679;17/10/2020;recaudo
1023456974;$ 24.267.964;18/10/2020;recaudo
1023456975;$ 75.211.453;19/10/2020;recaudo
1023456976;$ 20.649.446;20/10/2020;recaudo
1023456977;$ 19.451.476;21/10/2020;recaudo
1023456978;$ 43.764.784;22/10/2020;recaudo
1023456979;$ 77.073.553;23/10/2020;recaudo
1023456980;$ 91.597.548;1/10/2020;recaudo
1023456981;$ 15.872.353;2/10/2020;recaudo
1023456982;$ 4.906.577;3/10/2020;recaudo
1023456983;$ 28.878.033;4/10/2020;recaudo
1023456984;$ 42.604.304;5/10/2020;recaudo
1023456985;$ 63.499.493;6/10/2020;recaudo
1023456986;$ 20.845.690;7/10/2020;recaudo
1023456987;$ 91.286.029;8/10/2020;recaudo
1023456988;$ 4.240.203;9/10/2020;recaudo
1023456989;$ 1.910.962;10/10/2020;recaudo
1023456990;$ 43.037.383;11/10/2020;recaudo
1023456991;$ 93.173.888;12/10/2020;recaudo
1023456992;$ 10.302.453;13/10/2020;recaudo
1023456993;$ 11.385.280;14/10/2020;recaudo
1023456994;$ 97.326.175;15/10/2020;recaudo
1023456995;$ 75.598.079;16/10/2020;recaudo
1023456996;$ 6.179.991;17/10/2020;recaudo
1023456997;$ 474.631;18/10/2020;recaudo
1023456998;$ 14.285.816;19/10/2020;recaudo
1023456999;$ 83.672.047;20/10/2020;recaudo
1023457000;$ 6.921.339;21/10/2020;recaudo
1023457001;$ 36.072.904;22/10/2020;recaudo
1023457002;$ 76.517.203;1/10/2020;recaudo
1023457003;$ 91.897.084;2/10/2020;recaudo
1023457004;$ 72.471.909;3/10/2020;recaudo
1023457005;$ 20.294.354;4/10/2020;recaudo
1023457006;$ 96.006.621;5/10/2020;recaudo
1023457007;$ 56.105.746;6/10/2020;recaudo
1023457008;$ 44.689.108;7/10/2020;recaudo
1023457009;$ 57.058.245;8/10/2020;recaudo
1023457010;$ 37.209.404;9/10/2020;recaudo
1023457011;$ 12.247.726;10/10/2020;recaudo
1023457012;$ 20.791.926;11/10/2020;recaudo
1023457013;$ 8.152.648;12/10/2020;recaudo
1023457014;$ 30.853.385;13/10/2020;recaudo
1023457015;$ 29.750.733;14/10/2020;recaudo
1023457016;$ 75.320.347;15/10/2020;recaudo
1023457017;$ 80.399.558;16/10/2020;recaudo
1023457018;$ 61.645.783;17/10/2020;recaudo
1023457019;$ 56.701.569;18/10/2020;recaudo
1023457020;$ 58.907.072;19/10/2020;recaudo
1023457021;$ 77.194.120;20/10/2020;recaudo
1023457022;$ 17.155.705;21/10/2020;recaudo
1023457023;$ 9.093.392;22/10/2020;recaudo
1023457024;$ 5.879.143;1/10/2020;recaudo
1023457025;$ 2.957.460;2/10/2020;recaudo
1023457026;$ 19.814.545;3/10/2020;recaudo
1023457027;$ 35.782.923;4/10/2020;recaudo
1023457028;$ 48.624.721;5/10/2020;recaudo
1023457029;$ 16.759.024;6/10/2020;recaudo
1023457030;$ 77.326.877;7/10/2020;recaudo
1023457031;$ 65.217.044;8/10/2020;recaudo
1023457032;$ 59.485.359;9/10/2020;recaudo
1023457033;$ 80.390.028;10/10/2020;recaudo
1023457034;$ 32.661.122;11/10/2020;recaudo
1023457035;$ 7.204.518;12/10/2020;recaudo
1023457036;$ 26.698.958;13/10/2020;recaudo
1023457037;$ 20.935.142;14/10/2020;recaudo
1023457038;$ 49.342.819;15/10/2020;recaudo
1023457039;$ 37.573.719;16/10/2020;recaudo
1023457040;$ 42.469.321;17/10/2020;recaudo
1023457041;$ 75.783.034;18/10/2020;recaudo
1023457042;$ 79.061.011;19/10/2020;recaudo
1023457043;$ 20.703.198;20/10/2020;recaudo
1023457044;$ 49.243.196;21/10/2020;recaudo
1023457045;$ 70.263.742;22/10/2020;recaudo
1023457046;$ 95.751.326;1/10/2020;recaudo
1023457047;$ 8.330.891;2/10/2020;recaudo
1023457048;$ 51.556.868;3/10/2020;recaudo
1023457049;$ 23.312.216;4/10/2020;recaudo
1023457050;$ 5.457.858;5/10/2020;recaudo
1023457051;$ 33.310.290;6/10/2020;recaudo
1023457052;$ 9.198.240;7/10/2020;recaudo
1023457053;$ 61.446.057;8/10/2020;recaudo
1023457054;$ 50.405.448;9/10/2020;recaudo
1023457055;$ 34.455.407;10/10/2020;recaudo
1023457056;$ 93.733.489;11/10/2020;recaudo
1023457057;$ 80.091.002;12/10/2020;recaudo
1023457058;$ 43.554.674;13/10/2020;recaudo
1023457059;$ 83.884.119;14/10/2020;recaudo
1023457060;$ 32.059.142;15/10/2020;recaudo
1023457061;$ 38.108.206;16/10/2020;recaudo
1023457062;$ 86.899.072;17/10/2020;recaudo
1023457063;$ 23.021.342;18/10/2020;recaudo
1023457064;$ 70.706.208;19/10/2020;recaudo
1023457065;$ 98.110.508;20/10/2020;recaudo
1023457066;$ 86.442.304;21/10/2020;recaudo
1023457067;$ 92.210.126;22/10/2020;recaudo
1023457068;$ 2.127.907;23/10/2020;recaudo
1023457069;$ 52.071.022;24/10/2020;recaudo
1023457070;$ 57.897.758;25/10/2020;recaudo
1023457071;$ 68.692.409;26/10/2020;recaudo
1023457072;$ 42.828.572;27/10/2020;recaudo
1023457073;$ 11.834.487;28/10/2020;recaudo
1023457074;$ 54.134.245;29/10/2020;recaudo
1023457075;$ 49.576.499;1/10/2020;recaudo
1023457076;$ 97.726.693;2/10/2020;recaudo
1023457077;$ 93.741.495;3/10/2020;recaudo
1023457078;$ 69.757.570;4/10/2020;recaudo
1023457079;$ 11.425.245;5/10/2020;recaudo
1023457080;$ 13.016.449;6/10/2020;recaudo
1023457081;$ 38.566.596;7/10/2020;recaudo
1023457082;$ 10.389.165;8/10/2020;recaudo
1023457083;$ 54.679.988;9/10/2020;recaudo
1023457084;$ 38.408.322;10/10/2020;recaudo
1023457085;$ 17.321.161;11/10/2020;recaudo
1023457086;$ 46.208.429;12/10/2020;recaudo
1023457087;$ 44.375.241;13/10/2020;recaudo
1023457088;$ 69.693.543;14/10/2020;recaudo
1023457089;$ 33.209.912;15/10/2020;recaudo
1023457090;$ 93.792.921;16/10/2020;recaudo
1023457091;$ 64.746.564;17/10/2020;recaudo
1023457092;$ 25.475.395;18/10/2020;recaudo
1023457093;$ 11.923.446;19/10/2020;recaudo
1023457094;$ 90.341.163;20/10/2020;recaudo
1023457095;$ 30.024.521;21/10/2020;recaudo
1023457096;$ 36.533.520;22/10/2020;recaudo
1023457097;$ 69.428.137;23/10/2020;recaudo
1023457098;$ 87.052.862;24/10/2020;recaudo
1023457099;$ 5.570.937;25/10/2020;recaudo
1023457100;$ 22.137.731;26/10/2020;recaudo
1023457101;$ 85.227.602;27/10/2020;recaudo
1023457102;$ 23.745.694;28/10/2020;recaudo
1023457103;$ 74.117.326;29/10/2020;recaudo
1023457104;$ 49.367.296;1/10/2020;recaudo
1023457105;$ 18.619.668;2/10/2020;recaudo
1023457106;$ 64.308.994;3/10/2020;recaudo
1023457107;$ 64.030.158;4/10/2020;recaudo
1023457108;$ 2.111.035;5/10/2020;recaudo
1023457109;$ 39.730.216;6/10/2020;recaudo
1023457110;$ 35.377.603;7/10/2020;recaudo
1023457111;$ 33.332.319;8/10/2020;recaudo
1023457112;$ 29.611.321;9/10/2020;recaudo
1023457113;$ 86.664.193;10/10/2020;recaudo
1023457114;$ 80.725.428;11/10/2020;recaudo
1023457115;-$ 121.378;12/10/2020;recaudo
1023457116;$ 61.656.712;13/10/2020;recaudo
1023457117;$ 16.055.209;14/10/2020;recaudo
1023457118;$ 40.193.376;15/10/2020;recaudo
1023457119;$ 47.660.701;16/10/2020;recaudo
1023457120;$ 26.764.101;17/10/2020;recaudo
1023457121;$ 89.291.359;18/10/2020;recaudo
1023457122;$ 34.315.783;19/10/2020;recaudo
1023457123;$ 17.431.225;20/10/2020;recaudo
1023457124;$ 56.449.853;21/10/2020;recaudo
1023457125;$ 31.127.311;22/10/2020;recaudo
1023457126;$ 21.304.880;23/10/2020;recaudo
1023457127;$ 93.077.033;24/10/2020;recaudo
1023457128;$ 41.023.460;25/10/2020;recaudo
1023457129;$ 334.005;26/10/2020;recaudo
1023457130;$ 62.665.198;27/10/2020;recaudo
1023457131;$ 1.203.617;28/10/2020;recaudo
1023457132;$ 89.291.209;29/10/2020;recaudo
1023457133;$ 18.211.027;1/10/2020;recaudo
1023457134;$ 70.819.906;2/10/2020;recaudo
1023457135;$ 46.502.266;3/10/2020;recaudo
1023457136;$ 27.770.976;4/10/2020;recaudo
1023457137;$ 81.244.281;5/10/2020;recaudo
1023457138;$ 76.014.572;6/10/2020;recaudo
1023457139;$ 93.548.486;7/10/2020;recaudo
1023457140;$ 59.432.894;8/10/2020;recaudo
1023457141;$ 756.389;9/10/2020;recaudo
1023457142;$ 78.689.812;10/10/2020;recaudo
1023457143;$ 17.728.969;11/10/2020;recaudo
1023457144;$ 45.075.555;12/10/2020;recaudo
1023457145;$ 52.934.393;13/10/2020;recaudo
1023457146;$ 36.011.816;14/10/2020;recaudo
1023457147;$ 60.653.815;15/10/2020;recaudo
1023457148;$ 87.900.031;16/10/2020;recaudo
1023457149;$ 93.924.734;17/10/2020;recaudo
1023457150;$ 22.084.789;18/10/2020;recaudo
1023457151;$ 4.021.997;19/10/2020;recaudo
1023457152;$ 32.377.555;20/10/2020;recaudo
1023457153;$ 44.756.414;21/10/2020;recaudo
1023457154;$ 64.117.360;22/10/2020;recaudo
1023457155;$ 11.339.204;23/10/2020;recaudo
1023457156;$ 94.764.236;1/10/2020;recaudo
1023457157;$ 90.046.885;2/10/2020;recaudo
1023457158;$ 22.383.593;3/10/2020;recaudo
1023457159;$ 54.589.621;4/10/2020;recaudo
1023457160;$ 50.026.659;5/10/2020;recaudo
1023457161;$ 63.169.517;6/10/2020;recaudo
1023457162;$ 6.639.805;7/10/2020;recaudo
1023457163;$ 2.178.434;8/10/2020;recaudo
1023457164;$ 79.351.190;9/10/2020;recaudo
1023457165;$ 24.973.661;10/10/2020;recaudo
1023457166;$ 20.857.881;11/10/2020;recaudo
1023457167;$ 41.077.622;12/10/2020;recaudo
1023457168;$ 16.380.905;13/10/2020;recaudo
1023457169;$ 81.245.619;14/10/2020;recaudo
1023457170;$ 44.828.895;15/10/2020;recaudo
1023457171;$ 41.964.989;16/10/2020;recaudo
1023457172;$ 36.107.769;17/10/2020;recaudo
1023457173;$ 53.490.645;18/10/2020;recaudo
1023457174;$ 78.372.304;19/10/2020;recaudo
1023457175;$ 30.663.976;20/10/2020;recaudo
1023457176;$ 26.830.418;21/10/2020;recaudo
1023457177;$ 12.027.414;22/10/2020;recaudo
1023457178;$ 15.713.983;1/10/2020;recaudo
1023457179;$ 5.615.251;2/10/2020;recaudo
1023457180;$ 15.047.217;3/10/2020;recaudo
1023457181;$ 20.592.623;4/10/2020;recaudo
1023457182;$ 73.101.008;5/10/2020;recaudo
1023457183;$ 46.989.560;6/10/2020;recaudo
1023457184;$ 49.748.439;7/10/2020;recaudo
1023457185;$ 72.996.808;8/10/2020;recaudo
1023457186;$ 93.690.236;9/10/2020;recaudo
1023457187;$ 40.621.613;10/10/2020;recaudo
1023457188;$ 99.857.407;11/10/2020;recaudo
1023457189;$ 42.302.471;12/10/2020;recaudo
1023457190;$ 26.455.335;13/10/2020;recaudo
1023457191;$ 96.182.580;14/10/2020;recaudo
1023457192;$ 44.538.510;15/10/2020;recaudo
1023457193;$ 40.910.730;16/10/2020;recaudo
1023457194;$ 88.022.677;17/10/2020;recaudo
1023457195;$ 35.818.727;18/10/2020;recaudo
1023457196;$ 89.965.505;19/10/2020;recaudo
1023457197;$ 70.236.050;20/10/2020;recaudo
1023457198;$ 57.789.858;21/10/2020;recaudo
1023457199;$ 28.489.115;22/10/2020;recaudo
1023457200;$ 8.793.300;1/10/2020;recaudo
1023457201;$ 387.445;2/10/2020;recaudo
1023457202;$ 11.051.852;3/10/2020;recaudo
1023457203;$ 92.397.431;4/10/2020;recaudo
1023457204;$ 37.297.865;5/10/2020;recaudo
1023457205;$ 56.456.962;6/10/2020;recaudo
1023457206;$ 80.791.822;7/10/2020;recaudo
1023457207;$ 69.959.657;8/10/2020;recaudo
1023457208;$ 90.258.958;9/10/2020;recaudo
1023457209;$ 39.144.473;10/10/2020;recaudo
1023457210;$ 66.142.039;11/10/2020;recaudo
1023457211;$ 39.865.710;12/10/2020;recaudo
1023457212;$ 34.836.813;13/10/2020;recaudo
1023457213;$ 69.259.976;14/10/2020;recaudo
1023457214;$ 94.058.574;15/10/2020;recaudo
1023457215;$ 65.161.729;16/10/2020;recaudo
1023457216;$ 48.401.230;17/10/2020;recaudo
1023457217;$ 71.884.797;18/10/2020;recaudo
1023457218;$ 79.506.462;19/10/2020;recaudo
1023457219;$ 23.495.922;20/10/2020;recaudo
1023457220;$ 93.029.709;21/10/2020;recaudo
1023457221;$ 41.200.906;22/10/2020;recaudo
1023457222;$ 95.874.179;1/10/2020;recaudo
1023457223;$ 23.049.453;2/10/2020;recaudo
1023457224;$ 58.817.341;3/10/2020;recaudo
1023457225;$ 55.358.436;4/10/2020;recaudo
1023457226;$ 72.935.220;5/10/2020;recaudo
1023457227;$ 88.480.614;6/10/2020;recaudo
1023457228;$ 61.299.049;7/10/2020;recaudo
1023457229;$ 57.630.352;8/10/2020;recaudo
1023457230;$ 40.081.234;9/10/2020;recaudo
1023457231;$ 39.629.506;10/10/2020;recaudo
1023457232;$ 10.106.435;11/10/2020;recaudo
1023457233;$ 16.536.081;12/10/2020;recaudo
1023457234;$ 40.118.664;13/10/2020;recaudo
1023457235;$ 25.732.443;14/10/2020;recaudo
1023457236;$ 98.634.003;15/10/2020;recaudo
1023457237;$ 48.949.079;16/10/2020;recaudo
1023457238;$ 68.684.322;17/10/2020;recaudo
1023457239;$ 18.389.504;18/10/2020;recaudo
1023457240;$ 54.891.665;19/10/2020;recaudo
1023457241;$ 10.688.199;20/10/2020;recaudo
1023457242;$ 34.637.626;21/10/2020;recaudo
1023457243;$ 14.722.281;22/10/2020;recaudo
1023457244;$ 28.547.479;23/10/2020;recaudo
1023457245;$ 59.784.949;24/10/2020;recaudo
1023457246;$ 5.992.447;25/10/2020;recaudo
1023457247;$ 42.866.912;26/10/2020;recaudo
1023457248;$ 28.933.390;27/10/2020;recaudo
1023457249;$ 94.074.584;28/10/2020;recaudo
1023457250;$ 67.714.035;29/10/2020;recaudo
1023457251;$ 25.274.299;1/10/2020;recaudo
1023457252;$ 77.472.465;2/10/2020;recaudo
1023457253;$ 80.876.057;3/10/2020;recaudo
1023457254;$ 6.236.925;4/10/2020;recaudo
1023457255;$ 36.819.047;5/10/2020;recaudo
1023457256;$ 62.018.264;6/10/2020;recaudo
1023457257;$ 9.317.685;7/10/2020;recaudo
1023457258;$ 87.166.955;8/10/2020;recaudo
1023457259;$ 27.210.366;9/10/2020;recaudo
1023457260;$ 97.718.300;10/10/2020;recaudo
1023457261;$ 92.415.601;11/10/2020;recaudo
1023457262;$ 56.237.562;12/10/2020;recaudo
1023457263;$ 6.823.723;13/10/2020;recaudo
1023457264;$ 46.540.792;14/10/2020;recaudo
1023457265;$ 89.241.748;15/10/2020;recaudo
1023457266;$ 5.658.993;16/10/2020;recaudo
1023457267;$ 15.277.275;17/10/2020;recaudo
1023457268;$ 83.793.771;18/10/2020;recaudo
1023457269;$ 55.359.492;19/10/2020;recaudo
1023457270;$ 12.211.092;20/10/2020;recaudo
1023457271;$ 26.213.341;21/10/2020;recaudo
1023457272;$ 74.182.256;22/10/2020;recaudo
1023457273;$ 72.560.038;23/10/2020;recaudo
1023457274;$ 69.105.243;24/10/2020;recaudo
1023457275;$ 65.379.178;25/10/2020;recaudo
1023457276;$ 82.794.011;26/10/2020;recaudo
1023457277;$ 23.343.999;27/10/2020;recaudo
1023457278;$ 528.063;28/10/2020;recaudo
1023457279;$ 43.890.372;29/10/2020;recaudo
1023457280;$ 74.927.511;1/10/2020;recaudo
1023457281;$ 86.683.140;2/10/2020;recaudo
1023457282;$ 470.743;3/10/2020;recaudo
1023457283;$ 87.505.018;4/10/2020;recaudo
1023457284;$ 84.580.790;5/10/2020;recaudo
1023457285;$ 7.038.882;6/10/2020;recaudo
1023457286;$ 3.439.921;7/10/2020;recaudo
1023457287;$ 36.484.967;8/10/2020;recaudo
1023457288;$ 52.516.552;9/10/2020;recaudo
1023457289;$ 86.393.206;10/10/2020;recaudo
1023457290;$ 1.498.590;11/10/2020;recaudo
1023457291;$ 11.407.026;12/10/2020;recaudo
1023457292;$ 49.496.127;13/10/2020;recaudo
1023457293;$ 21.262.873;14/10/2020;recaudo
1023457294;$ 3.727.055;15/10/2020;recaudo
1023457295;$ 49.490.816;16/10/2020;recaudo
1023457296;$ 94.345.242;17/10/2020;recaudo
1023457297;$ 50.220.767;18/10/2020;recaudo
1023457298;$ 46.098.896;19/10/2020;recaudo
1023457299;$ 72.320.783;20/10/2020;recaudo
1023457300;$ 77.207.089;21/10/2020;recaudo
1023457301;$ 87.011.059;22/10/2020;recaudo
1023457302;$ 36.710.949;23/10/2020;recaudo
1023457303;$ 812.030;24/10/2020;recaudo
1023457304;$ 64.763.250;25/10/2020;recaudo
1023457305;$ 76.654.140;26/10/2020;recaudo
1023457306;$ 10.941.180;27/10/2020;recaudo
1023457307;$ 88.812.258;28/10/2020;recaudo
1023457308;$ 26.244.178;29/10/2020;recaudo
1023457309;$ 94.039.088;1/10/2020;recaudo
1023457310;$ 30.368.217;2/10/2020;recaudo
1023457311;$ 18.930.765;3/10/2020;recaudo
1023457312;$ 47.792.082;4/10/2020;recaudo
1023457313;$ 34.121.538;5/10/2020;recaudo
1023457314;$ 57.099.571;6/10/2020;recaudo
1023457315;$ 487.300;7/10/2020;recaudo
1023457316;$ 12.636.452;8/10/2020;recaudo
1023457317;$ 94.583.406;9/10/2020;recaudo
1023457318;$ 68.839.997;10/10/2020;recaudo
1023457319;$ 16.100.661;11/10/2020;recaudo
1023457320;$ 43.322.684;12/10/2020;recaudo
1023457321;$ 97.496.501;13/10/2020;recaudo
1023457322;$ 6.019.292;14/10/2020;recaudo
1023457323;$ 92.558.702;15/10/2020;recaudo
1023457324;$ 10.598.034;16/10/2020;recaudo
1023457325;$ 75.998.088;17/10/2020;recaudo
1023457326;$ 1.066.010;18/10/2020;recaudo
1023457327;$ 99.007.828;19/10/2020;recaudo
1023457328;$ 11.383.595;20/10/2020;recaudo
1023457329;$ 99.868.392;21/10/2020;recaudo
1023457330;$ 96.358.945;22/10/2020;recaudo
1023457331;$ 39.212.391;23/10/2020;recaudo
1023457332;$ 16.725.172;1/10/2020;recaudo
1023457333;$ 5.338.968;2/10/2020;recaudo
1023457334;$ 67.987.973;3/10/2020;recaudo
1023457335;$ 48.910.742;4/10/2020;recaudo
1023457336;$ 66.790.147;5/10/2020;recaudo
1023457337;$ 93.327.611;6/10/2020;recaudo
1023457338;$ 83.989.350;7/10/2020;recaudo
1023457339;$ 38.983.068;8/10/2020;recaudo
1023457340;$ 94.814.937;9/10/2020;recaudo
